aeropuerto,vuelo,aerolinea,origen,hora_04sep,hora_baseline,delta_min,clasificacion,confianza,en_franja_paro,hora_estimada_04sep,demora_est_min,codigos_compartidos,n_baselines,nota
AEP,AR 1729,AEROLINEAS ARGENTINAS,SFN,18:05,19:10,-65,CAMBIO_HORARIO,baja,SI,,,,2,
AEP,LA 2445,LATAM CHILE,LIM,08:40,07:40,60,CAMBIO_HORARIO,baja,NO,,,LP 2940,1,
AEP,AR 1747,AEROLINEAS ARGENTINAS,CNQ,12:30,11:30,60,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1875,AEROLINEAS ARGENTINAS,USH,14:50,13:50,60,CAMBIO_HORARIO,baja,NO,,,,3,
EZE,AR 1813,AEROLINEAS ARGENTINAS,PMY,19:55,20:55,-60,CAMBIO_HORARIO,baja,SI,,,,2,
AEP,AR 1439,AEROLINEAS ARGENTINAS,AFA,18:05,18:55,-50,CAMBIO_HORARIO,baja,SI,,,,2,
AEP,AR 1759,AEROLINEAS ARGENTINAS,FMA,22:50,22:00,50,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,AR 1895,AEROLINEAS ARGENTINAS,FTE,14:30,13:45,45,CAMBIO_HORARIO,baja,NO,,,,4,
AEP,AR 1753,AEROLINEAS ARGENTINAS,FMA,14:40,13:55,45,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1437,AEROLINEAS ARGENTINAS,AFA,16:45,16:00,45,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,AR 1601,AEROLINEAS ARGENTINAS,LUQ,23:25,22:40,45,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1475,AEROLINEAS ARGENTINAS,TUC,15:50,15:10,40,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1491,AEROLINEAS ARGENTINAS,SLA,17:55,18:30,-35,CAMBIO_HORARIO,baja,NO,,,,1,
EZE,WJ 3060,JETSMART AIRLINES,BRC,23:00,22:25,35,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,WJ 3233,JETSMART AIRLINES,TUC,10:58,10:28,30,CAMBIO_HORARIO,baja,SI,,,,1,
AEP,AR 1525,AEROLINEAS ARGENTINAS,COR,12:30,13:00,-30,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1785,AEROLINEAS ARGENTINAS,IGR,18:30,19:00,-30,CAMBIO_HORARIO,baja,SI,,,,2,
EZE,WJ 3042,JETSMART AIRLINES,BRC,11:45,12:15,-30,CAMBIO_HORARIO,baja,SI,,,,3,
